N=100,N=1000,N=10000,N=50000,N=100000
9.78E-05,0.000103712,0.000113726,9.70E-05,0.000123024
9.56E-05,0.000116825,0.000112057,9.44E-05,0.000120878
9.80E-05,8.32E-05,0.000105381,0.000123501,0.000120163
9.80E-05,7.68E-05,9.06E-05,0.000114441,0.000118971
0.000113249,7.39E-05,9.04E-05,0.000125647,0.000118017
0.000130415,7.46E-05,0.000112772,9.82E-05,0.000123739
0.000121593,7.51E-05,0.000115633,9.68E-05,0.000130892
0.000110388,7.34E-05,9.11E-05,9.78E-05,0.000159025
0.000114202,7.49E-05,8.99E-05,9.68E-05,0.000132084
9.82E-05,7.39E-05,8.77E-05,9.61E-05,0.000165701
0.000155449,7.30E-05,8.96E-05,9.78E-05,0.000125885
0.000180006,0.000100613,8.89E-05,9.78E-05,0.000128746
0.000128508,0.000282049,8.92E-05,9.70E-05,0.000124216
0.000105143,0.000139236,9.04E-05,9.66E-05,0.000125885
0.000100136,8.61E-05,8.77E-05,9.56E-05,0.000126123
9.94E-05,8.03E-05,8.77E-05,9.54E-05,0.00012517
9.78E-05,0.000111103,0.000123262,9.70E-05,0.000127077
0.000128984,7.82E-05,0.000103235,9.73E-05,0.000133514
9.78E-05,7.63E-05,0.000105619,9.58E-05,0.000127316
9.68E-05,8.80E-05,9.27E-05,0.000115633,0.000128746
0.000119686,0.000139713,8.99E-05,0.000101328,0.000123978
0.000101089,0.000104666,0.000115871,0.000123024,0.00013423
9.63E-05,0.000171423,0.000116825,0.000127792,0.000144243
9.73E-05,0.000157118,9.20E-05,9.80E-05,0.000137568
9.66E-05,0.000113487,8.94E-05,9.89E-05,0.000167847
9.47E-05,0.000102758,8.80E-05,9.73E-05,0.000132322
9.47E-05,0.000116825,8.94E-05,9.82E-05,0.000129461
0.000135899,0.000108242,9.06E-05,0.000122547,0.000128984
0.000113964,8.70E-05,0.000127554,9.75E-05,0.000128508
0.000102043,0.000146151,9.25E-05,9.63E-05,0.0001297
9.70E-05,0.000153303,9.13E-05,9.66E-05,0.000129938
9.80E-05,9.80E-05,8.80E-05,9.58E-05,0.000133038
9.58E-05,0.000118017,8.87E-05,9.44E-05,0.000127792
9.56E-05,0.000104427,8.99E-05,9.49E-05,0.000132084
9.51E-05,7.96E-05,8.80E-05,9.51E-05,0.000129223
0.000126362,0.000103712,0.00010848,9.61E-05,0.000122547
0.000139952,0.000114679,0.000114918,9.61E-05,0.000201464
0.000146389,0.000179052,0.000100374,9.54E-05,0.000149727
0.000105619,0.000200748,9.42E-05,9.58E-05,0.000133753
0.000115395,0.000101805,0.000108957,9.54E-05,0.000130177
0.000100613,8.01E-05,9.11E-05,0.000120163,0.000130177
9.70E-05,0.000103951,0.00011158,0.000102043,0.000148535
9.56E-05,7.89E-05,0.000108004,9.87E-05,0.000130415
9.44E-05,0.000153542,9.16E-05,9.66E-05,0.000128746
0.000115633,9.97E-05,8.92E-05,9.80E-05,0.000127792
0.000136852,9.44E-05,0.000106573,9.75E-05,0.000128508
0.000269651,9.99E-05,9.18E-05,9.58E-05,0.000128746
0.000116587,8.65E-05,8.87E-05,0.00012207,0.000127077
0.000101328,9.61E-05,0.000108004,9.58E-05,0.000129461
9.63E-05,0.000125647,0.000106335,9.63E-05,0.000129461
9.73E-05,0.000114918,8.87E-05,9.54E-05,0.00013113
9.58E-05,0.000102043,9.06E-05,9.70E-05,0.000142336
9.42E-05,8.80E-05,8.96E-05,9.58E-05,0.000130892
9.47E-05,0.000104427,8.96E-05,9.51E-05,0.000130415
0.000114918,8.44E-05,0.000108004,9.58E-05,0.000130892
0.000101805,7.87E-05,9.42E-05,9.54E-05,0.000129938
0.000100136,9.37E-05,9.37E-05,0.000105858,0.000128269
0.000119686,8.46E-05,9.25E-05,0.000100851,0.000128984
0.000109196,0.000108242,0.000104904,0.000143051,0.000130653
9.80E-05,8.99E-05,9.04E-05,0.000117302,0.000131369
9.56E-05,9.99E-05,0.000161648,0.000105858,0.000140667
0.000160217,0.000119448,0.000111341,0.000103474,0.000133276
0.000123024,0.000109196,9.54E-05,0.000105381,0.000128984
0.000101805,8.27E-05,9.32E-05,0.000100613,0.000127792
0.000102997,8.27E-05,8.89E-05,9.85E-05,0.000152826
0.00011754,8.23E-05,8.80E-05,0.000134468,0.000158072
0.000105143,7.84E-05,0.000111103,0.000117779,0.000133038
0.000118732,0.000141382,0.000103235,0.000127554,0.000130415
0.000104904,0.000226736,8.99E-05,0.000127316,0.000130415
0.000123262,0.000138521,8.85E-05,9.70E-05,0.000128746
0.000117779,9.66E-05,9.61E-05,0.000102282,0.000127792
0.000102043,0.000101328,9.06E-05,0.000120163,0.000123978
0.000108004,0.000122309,0.000114441,0.000124931,0.000129223
0.000123978,0.000114202,0.000110865,0.000118971,0.000170946
0.000124693,0.000110865,0.000108719,9.61E-05,0.0001266
0.000105381,0.00014329,9.18E-05,0.000103951,0.000123024
0.000121832,0.000122786,9.01E-05,0.000132322,0.000179052
0.000140905,9.58E-05,0.000109196,0.000126839,0.000131845
0.000127077,0.000125885,0.000107765,0.000124931,0.000181913
0.000101805,0.000108004,8.92E-05,9.78E-05,0.000144005
0.000130415,0.000169277,0.000109673,9.75E-05,0.000137091
0.000110388,0.000114679,0.000109673,9.75E-05,0.000130415
0.000103235,0.000166178,8.99E-05,9.58E-05,0.000139475
0.000144005,9.82E-05,9.82E-05,0.000123501,0.000130415
0.000139952,0.000133991,8.92E-05,9.54E-05,0.000124693
0.000139713,0.000131845,9.06E-05,9.54E-05,0.000129223
0.000105381,0.000100851,8.99E-05,9.56E-05,0.000130415
9.87E-05,9.66E-05,8.77E-05,0.00012207,0.0001719
9.82E-05,0.000106573,9.04E-05,9.49E-05,0.000123024
9.61E-05,0.000104666,8.99E-05,0.000109673,0.000128984
9.70E-05,8.82E-05,9.08E-05,0.000132322,0.000198126
9.68E-05,0.000109911,8.87E-05,9.89E-05,0.000167608
9.63E-05,9.85E-05,0.000133991,9.58E-05,0.000148535
9.42E-05,0.000124454,9.66E-05,0.000117064,0.000174522
0.000135183,0.000102043,9.04E-05,0.000102043,0.000130177
0.000138998,0.000120878,9.16E-05,9.73E-05,0.000157118
0.000116587,0.000141859,9.08E-05,9.68E-05,0.0001297
0.000123501,0.000107765,0.000115395,9.66E-05,0.000172853
0.000102282,9.54E-05,9.08E-05,0.000189781,0.000128508
9.80E-05,9.61E-05,8.94E-05,0.00012064,0.000177383
9.61E-05,9.20E-05,0.000114202,0.000141382,0.000153065
0.000196695,9.51E-05,0.000106812,0.000104904,0.000136614
9.56E-05,0.000112534,8.92E-05,9.51E-05,0.000152588
9.68E-05,0.000102282,8.92E-05,0.000100851,0.000136375
9.37E-05,0.000106812,0.000117064,9.73E-05,0.000128269
9.39E-05,8.30E-05,0.000107765,0.000134468,0.000151157
0.000140905,7.99E-05,9.13E-05,9.63E-05,0.000133514
0.000129938,9.85E-05,8.92E-05,9.56E-05,0.000134706
0.000112057,8.58E-05,9.20E-05,0.000124931,0.000130415
9.94E-05,0.000102282,9.01E-05,0.00010252,0.000128984
0.000119686,9.94E-05,0.000113964,9.87E-05,0.000134706
0.000138521,8.65E-05,0.000120878,9.70E-05,0.000128984
0.0001266,7.63E-05,0.000116825,9.73E-05,0.000127792
0.000104904,7.46E-05,0.000116587,0.00013876,0.000124693
0.000106812,7.75E-05,0.00010848,9.68E-05,0.000172138
0.000113726,0.000104189,9.11E-05,0.00013423,0.0001297
0.000100136,0.00012064,9.01E-05,9.61E-05,0.000127792
9.80E-05,0.00010705,0.000107527,9.51E-05,0.000128269
9.66E-05,8.46E-05,0.000135422,0.000140905,0.000155926
0.000113726,9.75E-05,0.000100851,9.61E-05,0.000151634
0.00011754,9.94E-05,9.16E-05,9.49E-05,0.000132799
0.000102758,9.73E-05,0.000112057,9.47E-05,0.000131369
9.73E-05,8.25E-05,8.94E-05,9.66E-05,0.000128746
9.70E-05,9.87E-05,8.94E-05,0.000137329,0.000157595
9.49E-05,0.000105143,9.04E-05,9.63E-05,0.000129223
0.00014329,0.000104427,0.00017333,0.000106096,0.000128984
0.000113964,7.89E-05,9.01E-05,0.000110626,0.00019455
9.97E-05,8.58E-05,8.82E-05,0.000133991,0.000127792
0.000128984,9.16E-05,9.04E-05,9.99E-05,0.000166655
0.000105858,9.56E-05,0.000114679,0.000134706,0.0001297
9.94E-05,0.000116587,9.47E-05,9.49E-05,0.0001297
9.87E-05,0.000105143,9.08E-05,0.000119925,0.0001266
9.78E-05,0.000101089,8.99E-05,0.000104904,0.00013113
9.58E-05,8.94E-05,0.000105381,0.000133514,0.000142097
0.00012207,9.27E-05,0.000103951,9.68E-05,0.000155687
0.00010705,0.000124216,9.11E-05,9.58E-05,0.000130892
0.000123024,9.63E-05,0.000107288,9.63E-05,0.00016737
0.000104904,8.70E-05,0.000107527,9.63E-05,0.000143766
9.97E-05,8.27E-05,0.000103951,9.42E-05,0.000161886
0.000174999,9.99E-05,0.000104666,0.000106096,0.000132084
0.000127316,8.27E-05,9.78E-05,9.63E-05,0.000179052
0.000107527,0.000114441,9.42E-05,0.000142097,0.000166893
0.000100136,8.80E-05,9.01E-05,0.000109673,0.000141382
0.000104189,8.49E-05,0.00010705,0.000130415,0.000177622
0.000144243,8.23E-05,9.73E-05,0.000110626,0.000130415
0.000105381,8.11E-05,9.54E-05,0.000107288,0.000178814
9.89E-05,8.73E-05,0.000115633,0.000104427,0.000139475
0.000104666,9.89E-05,0.000108957,0.000139713,0.000131607
0.000120878,0.000114202,0.000120163,0.000133514,0.000137568
0.000141859,7.84E-05,9.80E-05,9.73E-05,0.000172138
0.00012517,0.000110626,0.000119686,0.00012207,0.00013113
0.000213385,0.000113249,9.06E-05,9.54E-05,0.000129938
0.000112057,0.000112057,8.92E-05,9.63E-05,0.000126123
9.80E-05,0.000112295,0.000118017,0.000143528,0.000172377
9.85E-05,0.000119925,0.000108719,0.000132561,0.000153303
9.66E-05,0.000104189,8.94E-05,0.000129223,0.000130653
9.66E-05,0.000103951,8.92E-05,0.00014019,0.000171423
0.000119925,0.0001266,9.04E-05,9.75E-05,0.0001297
0.000108242,8.75E-05,9.01E-05,0.000100136,0.000169754
0.000100136,0.000112772,8.96E-05,0.000116348,0.000140667
0.000128984,9.87E-05,9.25E-05,0.000111341,0.0001297
0.000139236,8.34E-05,9.63E-05,0.000107288,0.000131845
0.000139236,0.000109196,9.32E-05,0.000122309,0.000134945
0.000114679,9.73E-05,0.000115156,0.000129938,0.000128984
0.000118494,8.92E-05,9.23E-05,0.000103951,0.000136614
0.000103712,9.04E-05,9.27E-05,9.73E-05,0.000132084
9.99E-05,9.92E-05,9.06E-05,9.54E-05,0.000128984
9.80E-05,0.000111341,0.000135422,9.56E-05,0.000128984
0.000122786,0.000102043,0.000100136,9.56E-05,0.000127792
0.000118732,8.44E-05,0.000111818,9.47E-05,0.000161171
0.000100613,0.000142097,9.47E-05,0.00010252,0.0001297
9.89E-05,0.000121593,0.000114679,9.68E-05,0.000129223
9.70E-05,9.18E-05,9.18E-05,9.70E-05,0.0001297
9.58E-05,8.20E-05,0.000118732,0.000136852,0.000149727
9.49E-05,0.000161171,0.000102997,0.000139475,0.000132322
9.58E-05,9.04E-05,9.75E-05,0.000128984,0.000128746
9.63E-05,0.000271797,0.000109673,0.000108004,0.000129223
9.56E-05,0.00026083,9.06E-05,0.00011158,0.000156403
0.000285387,0.000208378,8.82E-05,0.000139475,0.000159979
0.00017643,0.000198603,0.000111818,0.000101566,0.000131845
9.97E-05,0.000302076,0.00010705,9.87E-05,0.000196695
0.000136375,0.000221968,9.58E-05,9.75E-05,0.000177383
0.000111341,0.000204563,8.87E-05,0.000143051,0.00015974
0.000106573,0.000196934,9.06E-05,0.000132561,0.000168085
9.70E-05,0.000264406,0.00013113,9.85E-05,0.000141382
9.58E-05,0.000458241,0.000113487,9.70E-05,0.000156879
0.000189543,0.000273228,9.89E-05,9.80E-05,0.000132084
0.000124216,0.000334024,0.000105619,9.63E-05,0.000171185
0.000112534,0.000225067,0.000103474,9.66E-05,0.000170708
0.000156403,0.00031352,9.04E-05,9.61E-05,0.00013113
0.000265121,0.000274897,8.96E-05,9.87E-05,0.000127316
0.000134706,0.000294924,8.96E-05,9.78E-05,0.000137568
0.000124931,0.000200748,8.87E-05,9.63E-05,0.000131607
9.94E-05,0.00021553,0.000110626,9.80E-05,0.000130177
9.78E-05,0.000246286,9.08E-05,0.000110626,0.0001297
0.000183344,0.000203609,8.99E-05,0.000110149,0.000127792
0.000124693,0.000247717,0.000106812,0.000133514,0.000128269
9.68E-05,0.000262499,0.000106096,0.000130177,0.000156403
9.51E-05,0.000134945,9.18E-05,9.89E-05,0.0001297
0.000161886,0.00016737,0.000115395,0.000133276,0.000142813
0.000178337,0.00018239,9.30E-05,0.000131369,0.000133038
0.000110626,0.00018692,0.00012207,0.000285625,0.000156403
9.56E-05,0.000146389,0.000102997,0.000137091,0.000131369
0.000115156,0.000214338,9.30E-05,0.000127792,0.00019908
0.000122309,0.000217438,0.000112534,0.000118732,0.000177145
0.000102043,0.000371218,9.99E-05,9.97E-05,0.000156641
0.000120878,0.00043726,9.51E-05,0.000108719,0.000164986
9.37E-05,0.000386238,0.000122547,9.82E-05,0.000145912
0.00013876,0.0003407,9.04E-05,9.80E-05,0.000172377
0.000285864,0.000457048,9.87E-05,0.000113487,0.000159025
0.000108957,0.000335693,8.94E-05,0.000118494,0.000133991
0.000124216,0.000303984,8.80E-05,0.000104666,0.000154972
0.000133753,0.00033617,8.92E-05,0.000105381,0.000169277
0.000119925,0.000257969,9.37E-05,9.97E-05,0.000128984
0.000103474,0.00042367,8.87E-05,0.000139952,0.000155926
0.000114202,0.000344038,8.89E-05,0.000102043,0.000132322
0.0001297,0.00033927,8.99E-05,9.92E-05,0.000131369
0.000109434,0.000237465,8.96E-05,9.99E-05,0.000133276
0.000168562,0.000382185,9.56E-05,9.61E-05,0.000129938
0.00010848,0.000335932,9.44E-05,0.000145435,0.000173807
9.94E-05,0.000426292,8.75E-05,0.000121117,0.00013566
0.00011754,0.000711918,0.000127554,0.000195742,0.000134468
0.000121832,0.000443697,8.96E-05,0.000127554,0.000136852
0.000103235,0.000355959,0.000125408,0.000114918,0.000169992
0.000104427,0.000308752,0.000106096,0.00012064,0.000154257
0.000242233,0.000355721,9.27E-05,0.000123739,0.000144482
9.80E-05,0.000214577,0.000106096,0.000121593,0.000134945
0.000106812,0.000303984,0.000103712,0.000110149,0.000131845
0.000110865,0.000291348,0.000100851,0.00010705,0.000353336
0.000114202,0.000793457,9.06E-05,0.000104904,0.000295877
0.000126123,0.000421286,0.000116348,0.000104427,0.00014782
0.000113726,0.000340462,9.85E-05,0.000104904,0.000138521
9.94E-05,0.000319004,9.97E-05,0.000105858,0.000128984
9.73E-05,0.000361204,0.000112057,0.000106096,0.000177622
0.000118256,0.000174761,0.000103951,0.000105858,0.000132084
0.00012517,0.000100613,8.82E-05,0.000104427,0.000128984
9.87E-05,8.23E-05,0.000113726,0.000111103,0.000125408
9.25E-05,0.000108004,0.000113249,0.00010848,0.000141859
0.000111818,9.68E-05,9.20E-05,0.000107527,0.000396013
0.000101328,8.61E-05,9.18E-05,0.000107527,0.000223637
9.51E-05,0.000115633,9.06E-05,0.000108719,0.00018096
9.32E-05,8.99E-05,9.01E-05,0.000106573,0.000162125
0.000113249,0.000110388,0.000110149,0.00010848,0.000156164
0.000118971,0.000104904,0.00015521,0.000123978,0.000189543
9.89E-05,9.82E-05,0.00012207,0.000112057,0.000162125
0.000115871,0.000105619,9.01E-05,0.000109434,0.000243425
0.000118732,0.000132084,0.000113487,0.00010848,0.000254631
0.000141859,0.000104427,9.66E-05,0.000107527,0.000177383
0.000114679,0.000150681,8.85E-05,0.000107527,0.000207424
9.82E-05,0.000113249,0.00012517,0.000107765,0.000192404
9.39E-05,0.000107288,0.000103474,0.000111103,0.000216722
9.30E-05,8.80E-05,0.000102997,0.000108242,0.000149727
0.000109673,8.25E-05,8.94E-05,0.00010848,0.000147343
0.0001266,8.89E-05,9.66E-05,0.000107765,0.000149727
0.000123978,0.000104427,0.000114441,0.000108004,0.000189066
0.000121355,8.49E-05,9.06E-05,0.000108957,0.000147343
0.00019908,0.000101566,8.92E-05,0.000106573,0.000189543
0.00011754,0.000190735,8.99E-05,0.000108004,0.000177622
0.000105858,0.000111103,9.04E-05,0.00010705,0.000157118
0.000101089,0.000122309,8.87E-05,0.000108242,0.000193119
0.000100136,9.23E-05,0.000127792,0.000110626,0.000148535
9.80E-05,8.54E-05,0.000113964,0.000121117,0.000185966
9.56E-05,0.000108957,9.58E-05,0.000111103,0.000150204
9.68E-05,0.000400543,9.23E-05,0.000109196,0.000148773
9.47E-05,0.000142574,0.000100136,0.000108719,0.000159502
0.000115156,0.000117302,9.13E-05,0.000107527,0.00030756
0.000124931,9.06E-05,9.01E-05,0.000108242,0.000174999
0.000107527,0.000112295,9.06E-05,0.000108004,0.000155926
0.000121593,0.000134945,9.30E-05,0.000107527,0.000174284
0.000122309,0.000104666,0.000104904,0.000107527,0.000154257
0.000130177,0.000148773,8.94E-05,0.000292301,0.000149727
0.000125408,0.00014019,8.87E-05,0.000205278,0.000150442
0.000121593,9.49E-05,0.00012517,0.000157118,0.000148773
0.000103474,8.58E-05,0.000208855,0.000120878,0.000149965
0.000127554,0.000154257,0.000145674,0.000111341,0.000149488
0.000104189,9.49E-05,0.000137091,0.00010848,0.000148773
0.000100374,0.00010848,0.000168562,0.000110626,0.000148773
0.000122786,8.65E-05,0.000178099,0.000106573,0.000148296
0.000115871,8.96E-05,0.000131845,0.000124454,0.000149012
0.000105143,9.47E-05,0.000129223,0.000106812,0.000147581
9.89E-05,0.000170469,0.00013113,0.000105858,0.000150681
0.000103951,0.000151873,0.000115156,0.000105619,0.000184774
0.00011301,9.87E-05,0.00010705,0.000106096,0.000153303
0.00012064,9.37E-05,0.000116587,0.00010705,0.000149965
0.000133514,0.000134945,9.78E-05,0.000145197,0.000148535
0.000113726,9.85E-05,9.44E-05,0.000112534,0.000147343
9.99E-05,8.08E-05,0.00021553,0.00010848,0.000149727
9.70E-05,0.000140667,0.000118971,0.000106812,0.000149965
0.000121832,0.000131845,0.000104904,0.00010848,0.000150442
0.000101566,0.000114202,0.000103951,0.000195265,0.000148773
0.000101566,0.000122547,9.82E-05,0.000226974,0.000150204
9.80E-05,9.92E-05,0.000117779,0.000161171,0.000148773
0.000153065,0.00012517,0.00014329,0.000116825,0.000159502
0.000113964,0.000100374,0.00013423,0.000109434,0.000151396
9.97E-05,0.000122309,0.000122309,0.000110149,0.000150919
9.97E-05,0.000117064,0.000106573,0.000111341,0.000172138
9.66E-05,0.000103235,9.30E-05,0.000164747,0.000154018
0.000116587,0.000120163,0.000100136,0.000200987,0.000151396
0.000127792,9.89E-05,0.000105858,0.000126362,0.000148296
0.00011158,8.23E-05,0.000123739,0.000112534,0.000149012
9.80E-05,0.000117779,0.000113249,0.000109196,0.000149012
0.000156403,9.56E-05,9.66E-05,0.000110865,0.000148773
0.000133276,0.000111103,0.000101566,0.000106096,0.000149012
0.000104904,0.00010848,0.000112772,0.000101089,0.000148773
9.99E-05,8.56E-05,9.49E-05,0.00014782,0.000170946
