n=100,n=1000,n=10000,n=50000,n=100000
0.023552,0.060384,0.110592,0.319488,0.58368
0.021504,0.060416,0.111488,0.320512,0.585728
0.060416,0.060416,0.109536,0.320512,0.5888
0.060416,0.061344,0.108544,0.327584,0.584704
0.059392,0.060416,0.110592,0.328704,0.586752
0.06144,0.060416,0.111616,0.329664,0.589824
0.059392,0.06144,0.110592,0.319488,0.587776
0.02048,0.060416,0.137216,0.329568,0.589824
0.023552,0.061376,0.109568,0.324608,0.585568
0.02048,0.060416,0.108544,0.349184,0.585728
0.022528,0.060416,0.137184,0.330752,0.581632
0.022528,0.060416,0.110592,0.32768,0.586752
0.022528,0.060416,0.109536,0.326656,0.584704
0.021504,0.060416,0.111584,0.3296,0.585568
0.028672,0.06144,0.110592,0.321536,0.596928
0.031744,0.061312,0.111456,0.326656,0.584704
0.02048,0.062464,0.111616,0.322464,0.620544
0.021504,0.062464,0.110592,0.335872,0.5888
0.021504,0.061408,0.111552,0.326656,0.585728
0.050336,0.060416,0.111456,0.325632,0.590848
0.021504,0.060416,0.110592,0.351232,0.592896
0.054272,0.06144,0.109568,0.320512,0.608256
0.019456,0.06144,0.11264,0.325632,0.587744
0.021504,0.060416,0.108544,0.326656,0.587712
0.02048,0.060416,0.137216,0.32768,0.58464
0.018432,0.060416,0.111616,0.326656,0.579584
0.053248,0.0768,0.111616,0.326656,0.581632
0.019264,0.061408,0.111616,0.32768,0.596992
0.019456,0.062464,0.111616,0.320512,0.589824
0.055232,0.06144,0.109568,0.321536,0.587776
0.018432,0.062464,0.10944,0.319488,0.584704
0.019456,0.06144,0.109568,0.32256,0.594944
0.04608,0.063488,0.112576,0.32256,0.595968
0.017408,0.062464,0.111616,0.323584,0.592896
0.018336,0.062464,0.109568,0.326656,0.601088
0.043008,0.062272,0.109504,0.329664,0.602112
0.017408,0.062464,0.109568,0.326656,0.579584
0.018432,0.060416,0.109568,0.330752,0.594944
0.017408,0.06128,0.109536,0.323584,0.5888
0.017408,0.060416,0.142336,0.319488,0.584448
0.018432,0.060416,0.109568,0.321536,0.586752
0.031744,0.060416,0.109568,0.326656,0.580608
0.017408,0.060416,0.109568,0.32768,0.577536
0.018432,0.060416,0.110432,0.32256,0.590688
0.018432,0.060416,0.11264,0.318464,0.592896
0.018432,0.061312,0.14336,0.32768,0.597888
0.018432,0.060416,0.110496,0.32752,0.5888
0.018304,0.060416,0.109568,0.328704,0.586752
0.018432,0.060416,0.109568,0.326656,0.581632
0.018432,0.060416,0.110528,0.320512,0.581632
0.019456,0.060416,0.110432,0.327584,0.586752
0.018432,0.061216,0.110592,0.320512,0.585728
0.018432,0.061312,0.109568,0.3256,0.590848
0.018432,0.060416,0.109568,0.317376,0.581472
0.018432,0.062464,0.11264,0.320512,0.59392
0.018432,0.067584,0.113568,0.320512,0.594816
0.019456,0.070592,0.11264,0.319488,0.58368
0.01936,0.062464,0.11264,0.320512,0.596992
0.019424,0.090112,0.11264,0.320416,0.592896
0.018432,0.060416,0.113664,0.322464,0.605184
0.021504,0.060416,0.111616,0.328704,0.589664
0.021504,0.060416,0.110592,0.320512,0.5888
0.017408,0.062464,0.110592,0.322528,0.58368
0.018432,0.062368,0.110592,0.319488,0.602048
0.017408,0.060416,0.111488,0.320512,0.586688
0.017408,0.063392,0.110592,0.319488,0.584704
0.018432,0.070656,0.110592,0.32656,0.594816
0.018304,0.069632,0.110592,0.320512,0.579584
0.019456,0.06128,0.11152,0.319488,0.588768
0.018432,0.063488,0.110592,0.320512,0.594944
0.017408,0.063392,0.111616,0.326624,0.589824
0.026624,0.06144,0.110592,0.325632,0.581632
0.018432,0.06144,0.111616,0.320512,0.589824
0.02144,0.060416,0.112608,0.32768,0.590848
0.022528,0.060288,0.111488,0.320416,0.57856
0.018432,0.060416,0.113664,0.326592,0.592864
0.032768,0.063424,0.120832,0.328704,0.580608
0.017408,0.063488,0.111616,0.323584,0.587776
0.018432,0.060416,0.154624,0.355328,0.585696
0.017408,0.06144,0.141312,0.32768,0.598016
0.018432,0.059392,0.11264,0.326656,0.592896
0.020384,0.063456,0.116736,0.350208,0.595968
0.019456,0.060416,0.109504,0.322464,0.59392
0.04608,0.063488,0.113664,0.328704,0.5816
0.018432,0.060416,0.109568,0.326656,0.591872
0.048,0.063488,0.137216,0.320512,0.586752
0.017408,0.06144,0.110592,0.325632,0.584704
0.018432,0.062464,0.110592,0.326656,0.582656
0.017408,0.060416,0.108544,0.325632,0.601056
0.017408,0.060416,0.11264,0.324608,0.597856
0.018432,0.060416,0.109504,0.325632,0.58368
0.018432,0.060416,0.109568,0.328544,0.5888
0.017408,0.060416,0.110592,0.35328,0.586752
0.019456,0.060416,0.108544,0.319488,0.582656
0.019456,0.060352,0.108544,0.3296,0.586592
0.018432,0.064512,0.108544,0.326656,0.587776
0.045056,0.060256,0.109568,0.326656,0.585728
0.018432,0.060416,0.108544,0.328576,0.58368
0.018432,0.063488,0.109568,0.320512,0.602112
0.019456,0.060416,0.109568,0.325536,0.5888
0.0184,0.060416,0.108544,0.320512,0.580608
0.018432,0.060416,0.108544,0.339968,0.585728
0.018432,0.060416,0.11264,0.327584,0.581632
0.017408,0.060416,0.113664,0.326656,0.584704
0.018432,0.060416,0.108544,0.325632,0.58368
0.018432,0.060416,0.137216,0.320512,0.582656
0.018432,0.060416,0.137216,0.325632,0.596992
0.019456,0.06144,0.144352,0.320448,0.57744
0.017408,0.060416,0.108544,0.32768,0.583584
